data,tags
 ntdll.dll kernel32.dll KernelBase.dll crypt32.dll api-ms-win-downlevel-advapi32-l1-1-0.dll msvcrt.dll mcstoredb.dll msasn1.dll secur32.dll kernel32.dll sspicli.dll rpcrt4.dll advapi32.dll sechost.dll ole32.dll gdi32.dll user32.dll sechost.dll lpk.dll usp10.dll oleaut32.dll psapi.dll System.ni.dll shell32.dll shlwapi.dll version.dll wininet.dll urlmon.dll rsaenh.dll iertutil.dll winmm.dll winhttp.dll webio.dll nsi.dll winnsi.dll rpcrt4.dll imm32.dll msctf.dll cryptbase.dll profapi.dll apphelp.dll clbcatq.dll taskschd.dll,normal
 ntdll.dll kernel32.dll KernelBase.dll advapi32.dll msvcrt.dll wshext.dll sechost.dll rpcrt4.dll msswch.dll user32.dll gdi32.dll lpk.dll vm3dum64_10.dll usp10.dll wbemcomn.dll oleaut32.dll ole32.dll imm32.dll msctf.dll comctl32.dll cryptbase.dll System.Xml.Linq.ni.dll wbemprox.dll eappcfg.dll ws2_32.dll nsi.dll clbcatq.dll wbemsvc.dll wbemsvc.dll sechost.dll ntmarta.dll Wldap32.dll cryptsp.dll lpk.dll rsaenh.dll RpcRtRemote.dll fastprox.dll kernel32.dll ntdsapi.dll wmiutils.dll pdh.dll mscorlib.dll ncobjapi.dll shlwapi.dll secur32.dll clusapi.dll cryptdll.dll version.dll bcrypt.dll ktmw32.dll shell32.dll dnsapi.dll perfdisk.dll cfgmgr32.dll WmiPerfClass.dll wevtapi.dll netfxperf.dll mscoree.dll PerfCounter.dll msvcr80.dll mscorwks.dll CORPerfMonExt.dll ole32.dll bitsperf.dll ntdsperf.dll dnsperf.dll esentprf.dll RpcRtRemote.dll msdtcuiu.dll atl.dll msdtcprx.dll mtxclu.dll resutils.dll lpk.dll perfnet.dll netapi32.dll netutils.dll srvcli.dll wkscli.dll browcli.dll perfos.dll perfproc.dll rasctrs.dll wkscli.dll rasman.dll perfctrs.dll winnsi.dll winsta.dll tapiperf.dll msasn1.dll setupapi.dll devobj.dll samcli.dll perfts.dll utildll.dll gpapi.dll logoncli.dll usbperf.dll WmiApRpl.dll loadperf.dll wmiprov.dll pcwum.dll,normal
 ntdll.dll kernel32.dll KernelBase.dll crypt32.dll msvcrt.dll msasn1.dll secur32.dll sspicli.dll rpcrt4.dll advapi32.dll imm32.dll sechost.dll wcp.dll ole32.dll gdi32.dll user32.dll lpk.dll profapi.dll usp10.dll oleaut32.dll psapi.dll shell32.dll shlwapi.dll version.dll wininet.dll urlmon.dll iertutil.dll winmm.dll winhttp.dll webio.dll nsi.dll winnsi.dll cscapi.dll winmm.dll imm32.dll msctf.dll wlanhlp.dll cryptbase.dll,normal
 ntdll.dll kernel32.dll KernelBase.dll sechost.dll advapi32.dll msvcrt.dll sechost.dll kernel32.dll rpcrt4.dll user32.dll gdi32.dll System.Runtime.Remoting.dll lpk.dll usp10.dll oleaut32.dll dxgi.dll ole32.dll wbemcomn.dll ws2_32.dll nsi.dll imm32.dll imm32.dll msctf.dll psapi.dll cryptbase.dll clbcatq.dll wbemprox.dll cryptsp.dll rsaenh.dll RpcRtRemote.dll wbemsvc.dll fastprox.dll ntdsapi.dll loadperf.dll wmiutils.dll wmiprov.dll ntdll.dll,normal
 ntdll.dll kernel32.dll winnsi.dll KernelBase.dll chrome_elf.dll version.dll msvcrt.dll shell32.dll shlwapi.dll oleaut32.dll gdi32.dll user32.dll lpk.dll usp10.dll advapi32.dll sechost.dll kernel32.dll rpcrt4.dll winmm.dll userenv.dll profapi.dll imm32.dll msctf.dll ole32.dll chrome_watcher.dll ReachFramework.dll,normal
 chrome_elf.dll version.dll userenv.dll BCP47Langs.dll shlwapi.dll gdi32.dll user32.dll lpk.dll usp10.dll advapi32.dll System.Data.SqlXml.dll sechost.dll rpcrt4.dll winmm.dll profapi.dll imm32.dll msctf.dll cryptbase.dll ntdll.dll System.Drawing.dll urlmon.dll kernel32.dll KernelBase.dll msvcrt.dll shell32.dll,normal
 ntdll.dll ntdll.dll wow64.dll wow64win.dll wow64cpu.dll kernel32.dll kernel32.dll kernel32.dll user32.dll kernel32.dll gdi32.dll KernelBase.dll advapi32.dll msvcrt.dll sechost.dll kernel32.dll rpcrt4.dll sspicli.dll cryptbase.dll lpk.dll comctl32.dll gdi32.dll user32.dll lpk.dll usp10.dll mfc42u.dll rsaenh.dll ole32.dll oleaut32.dll odbc32.dll shell32.dll System.dll shlwapi.dll wininet.dll urlmon.dll crypt32.dll shlwapi.dll msasn1.dll iertutil.dll rpcrt4.dll version.dll winmm.dll ws2_32.dll nsi.dll imm32.dll msctf.dll user32.dll odbcint.dll riched32.dll riched20.dll ole32.dll clbcatq.dll shell32.dll comctl32.dll shell32.dll shell32.dll uxtheme.dll msado15.dll msdart.dll cryptsp.dll rsaenh.dll msimg32.dll RpcRtRemote.dll oledb32.dll System.Numerics.ni.dll bcrypt.dll oledb32r.dll comsvcs.dll scrrun.dll atl.dll bcryptprimitives.dll msjetoledb40.dll msjet40.dll mswstr10.dll devobj.dll msjter40.dll msjint40.dll msadox.dll msadrh15.dll msjtes40.dll version.dll RpcRtRemote.dll vbajet32.dll imageres.dll msvcrt.dll expsrv.dll kernel32.dll msadce.dll msadcer.dll propsys.dll apphelp.dll ieframe.dll ieframe.dll ieframe.dll odbcint.dll ieframe.dll psapi.dll oleacc.dll ntmarta.dll Wldap32.dll setupapi.dll cfgmgr32.dll devobj.dll,caidao
 ntdll.dll kernel32.dll KernelBase.dll msvcrt.dll chrome_elf.dll version.dll userenv.dll apphelp.dll shell32.dll shlwapi.dll gdi32.dll user32.dll lpk.dll usp10.dll user32.dll advapi32.dll sechost.dll rpcrt4.dll rpcrt4.dll winmm.dll profapi.dll imm32.dll msctf.dll cryptbase.dll ole32.dll kernel32.dll ntdll.dll secur32.dll gdi32.dll System.Configuration.ni.dll sspicli.dll wintrust.dll user32.dll crypt32.dll rsaenh.dll UIAutomationCore.dll psapi.dll wevtapi.dll user32.dll rasadhlp.dll winnsi.dll mscms.dll chrome.dll winsta.dll oleaut32.dll netapi32.dll wbemprox.dll wbemcomn.dll setupapi.dll devobj.dll netutils.dll srvcli.dll oleaut32.dll winhttp.dll mssprxy.dll lpk.dll webio.dll credssp.dll PwdSSP.dll wkscli.dll samcli.dll wbemsvc.dll msasn1.dll oleacc.dll FirewallAPI.dll comctl32.dll wtsapi32.dll hid.dll usp10.dll propsys.dll DWrite.dll d3d11.dll dxgi.dll dwmapi.dll credui.dll ncrypt.dll bcrypt.dll winusb.dll msvcrt.dll msi.dll gpapi.dll ws2_32.dll nsi.dll nlaapi.dll dhcpcsvc6.dll dhcpcsvc.dll clbcatq.dll MMDevAPI.dll cfgmgr32.dll ntmarta.dll Wldap32.dll wininet.dll api-ms-win-downlevel-advapi32-l1-1-0.dll cryptsp.dll secur32.dll winsrv.dll cryptsp.dll rsaenh.dll RpcRtRemote.dll uxtheme.dll fastprox.dll ntdsapi.dll wmiutils.dll ExplorerFrame.dll rsaenh.dll winsta.dll dui70.dll linkinfo.dll duser.dll pdh.dll WmiPerfInst.dll bcryptprimitives.dll imagehlp.dll 7-zip.dll 7-zip.dll ntshrui.dll ntshrui.dll stobject.dll usp10.dll stobject.dll EhStorShell.dll EhStorShell.dll user32.dll cryptext.dll UIAutomationProvider.dll cryptext.dll colorui.dll colorui.dll chrome_child.dll chrome_child.dll dbghelp.dll dbghelp.dll comdlg32.dll comdlg32.dll urlmon.dll urlmon.dll wininet.dll wininet.dll iertutil.dll iertutil.dll,normal
 lpk.dll kernel32.dll advapi32.dll ntdll.dll kernel32.dll KernelBase.dll chrome_elf.dll version.dll msvcrt.dll System.XML.dll RpcRtRemote.dll shell32.dll shlwapi.dll gdi32.dll user32.dll lpk.dll usp10.dll advapi32.dll sechost.dll rpcrt4.dll winmm.dll userenv.dll profapi.dll imm32.dll msctf.dll chrome_child.dll ws2_32.dll nsi.dll winnsi.dll ole32.dll oleaut32.dll kernel32.dll oleacc.dll UIAutomationCore.dll psapi.dll wtsapi32.dll wintrust.dll crypt32.dll msasn1.dll DWrite.dll dxgi.dll dwmapi.dll dbghelp.dll comdlg32.dll comctl32.dll webio.dll urlmon.dll wininet.dll psapi.dll ntdsapi.dll netapi32.dll iertutil.dll secur32.dll sspicli.dll dhcpcsvc.dll cryptbase.dll winhttp.dll,normal
 ntdll.dll kernel32.dll KernelBase.dll chrome_elf.dll version.dll msvcrt.dll shell32.dll shlwapi.dll gdi32.dll user32.dll lpk.dll usp10.dll advapi32.dll dfscli.dll sechost.dll rpcrt4.dll winmm.dll userenv.dll KernelBase.dll sechost.dll profapi.dll imm32.dll wshqos.dll msctf.dll winnsi.dll ole32.dll oleaut32.dll oleacc.dll UIAutomationCore.dll psapi.dll wtsapi32.dll wintrust.dll crypt32.dll msasn1.dll DWrite.dll dxgi.dll uxtheme.dll comctl32.dll winhttp.dll KernelBase.dll webio.dll secur32.dll sspicli.dll cryptbase.dll ws2_32.dll nsi.dll dhcpcsvc.dll chrome_child.dll netapi32.dll dwmapi.dll shell32.dll samlib.dll dbghelp.dll comdlg32.dll urlmon.dll wininet.dll iertutil.dll,normal
 msftedit.dll,normal
 shell32.dll,normal
 ntdll.dll ntdll.dll kernel32.dll KernelBase.dll chrome_elf.dll version.dll msvcrt.dll shell32.dll oleacc.dll kernel32.dll shlwapi.dll gdi32.dll user32.dll lpk.dll usp10.dll advapi32.dll sechost.dll rpcrt4.dll winmm.dll userenv.dll profapi.dll imm32.dll msctf.dll chrome_child.dll winnsi.dll ws2_32.dll nsi.dll winnsi.dll ole32.dll oleaut32.dll oleacc.dll psapi.dll wtsapi32.dll System.EnterpriseServices.Wrapper.dll gpapi.dll wintrust.dll crypt32.dll mscorwks.dll msasn1.dll KernelBase.dll DWrite.dll System.Xml.ni.dll dxgi.dll dwmapi.dll dbghelp.dll dnsapi.dll comdlg32.dll comctl32.dll winhttp.dll webio.dll urlmon.dll wininet.dll iertutil.dll secur32.dll dhcpcsvc.dll cryptbase.dll setupapi.dll cfgmgr32.dll devobj.dll dxva2.dll shell32.dll d3dcompiler_47.dll UIAutomationCore.dll sspicli.dll ddraw.dll dciman32.dll libglesv2.dll libegl.dll,normal
 ntdll.dll kernel32.dll KernelBase.dll chrome_elf.dll RpcRtRemote.dll version.dll msvcrt.dll shell32.dll shlwapi.dll gdi32.dll user32.dll lpk.dll lpk.dll usp10.dll advapi32.dll sechost.dll rpcrt4.dll winmm.dll userenv.dll profapi.dll imm32.dll propsys.dll ole32.dll msctf.dll winnsi.dll shlwapi.dll ole32.dll oleaut32.dll oleacc.dll UIAutomationCore.dll psapi.dll wtsapi32.dll wintrust.dll crypt32.dll msasn1.dll DWrite.dll ntdll.dll dxgi.dll comctl32.dll winhttp.dll lpk.dll webio.dll secur32.dll sspicli.dll cryptbase.dll ws2_32.dll nsi.dll nlaapi.dll rasadhlp.dll dhcpcsvc.dll dhcpcsvc6.dll chrome_child.dll dwmapi.dll dbghelp.dll imageres.dll comdlg32.dll cryptbase.dll urlmon.dll wininet.dll iertutil.dll nsi.dll mswsock.dll uxtheme.dll wship6.dll dnsapi.dll ntmarta.dll Wldap32.dll,normal
 msftedit.dll,normal
 ntdll.dll ntdll.dll wow64.dll wow64win.dll wow64cpu.dll kernel32.dll kernel32.dll kernel32.dll user32.dll kernel32.dll imageres.dll KernelBase.dll ntdll.dll apphelp.dll advapi32.dll gdi32.dll comctl32.dll msvcrt.dll ole32.dll oleaut32.dll shell32.dll user32.dll wininet.dll KernelBase.dll mfc42u.dll bcrypt.dll mscorlib.dll winmm.dll sechost.dll rpcrt4.dll kernel32.dll ws2_32.dll System.EnterpriseServices.dll combase.dll shlwapi.dll iertutil.dll odbc32.dll winmmbase.dll System.Numerics.dll sspicli.dll cryptbase.dll UIAutomationTypes.ni.dll bcryptprimitives.dll nsi.dll imm32.dll msctf.dll uxtheme.dll riched20.dll usp10.dll msls31.dll riched32.dll dwmapi.dll imm32.dll comctl32.dll clbcatq.dll version.dll System.Data.OracleClient.dll oleacc.dll propsys.dll profapi.dll ntmarta.dll dui70.dll imecfm.dll wer.dll SHCore.dll msado15.dll msdart.dll oledb32.dll bcrypt.dll user32.dll comsvcs.dll msvcrt.dll rpcrt4.dll msjetoledb40.dll msjet40.dll msjter40.dll crypt32.dll msasn1.dll mswstr10.dll SensApi.dll msjint40.dll cryptsp.dll rsaenh.dll dpapi.dll msadox.dll msadrh15.dll msjtes40.dll vbajet32.dll expsrv.dll msdadiag.dll imecfm.dll wer.dll msadce.dll msadcer.dll,caidao
 aelupsvc.dll apphelp.dll,normal
 apphelp.dll wow64.dll ntdll.dll kernel32.dll kernel32.dll KernelBase.dll user32.dll msvcrt.dll sechost.dll shlwapi.dll gdi32.dll imm32.dll msctf.dll imagehlp.dll advapi32.dll ieframe.dll shell32.dll ole32.dll oleaut32.dll wininet.dll IEAdvpack.dll iertutil.dll cryptui.dll urlmon.dll mshtml.dll msimg32.dll version.dll crypt32.dll mlang.dll sechost.dll cryptsp.dll rpcrt4.dll combase.dll SHCore.dll msasn1.dll setupapi.dll msasn1.dll cfgmgr32.dll devobj.dll comctl32.dll sechost.dll cfgmgr32.dll System.XML.dll cryptbase.dll bcryptprimitives.dll uxtheme.dll dwmapi.dll profapi.dll clbcatq.dll propsys.dll secur32.dll sspicli.dll winhttp.dll ws2_32.dll nsi.dll msfeeds.dll mswsock.dll winnsi.dll,normal
 ntdll.dll ntdll.dll wow64.dll wow64win.dll wow64cpu.dll kernel32.dll kernel32.dll kernel32.dll user32.dll kernel32.dll KernelBase.dll apphelp.dll kernel32.dll msvcrt.dll iertutil.dll rsaenh.dll user32.dll gdi32.dll wkscli.dll imm32.dll ntdll.dll msctf.dll Microsoft.VisualStudio.Tools.Applications.ServerDocument.v10.0.dll System.Printing.dll RpcRtRemote.dll SHCore.dll combase.dll rpcrt4.dll sspicli.dll cryptbase.dll sechost.dll bcryptprimitives.dll ieframe.dll shlwapi.dll ole32.dll SensApi.dll oleaut32.dll apphelp.dll shell32.dll comctl32.dll advapi32.dll clbcatq.dll comdlg32.dll uxtheme.dll rasapi32.dll wininet.dll IEShims.dll profapi.dll urlmon.dll ws2_32.dll nsi.dll secur32.dll dwmapi.dll msctf.dll cryptsp.dll Microsoft.Transactions.Bridge.ni.dll rsaenh.dll clbcatq.dll winhttp.dll ieproxy.dll mswsock.dll sqmapi.dll ieui.dll winnsi.dll propsys.dll dhcpcsvc6.dll mlang.dll ole32.dll dhcpcsvc.dll sxs.dll dnsapi.dll rasadhlp.dll mshtml.dll d2d1.dll DWrite.dll ninput.dll dxgi.dll actxprxy.dll jscript9.dll cryptui.dll IEAdvpack.dll msimg32.dll winnsi.dll version.dll comsvcs.dll crypt32.dll setupapi.dll msasn1.dll cfgmgr32.dll msimg32.dll devobj.dll version.dll oleacc.dll ntmarta.dll dui70.dll imecfm.dll wer.dll msimtf.dll powrprof.dll dcomp.dll d3d11.dll d3d10warp.dll vaultcli.dll,normal
 winhttp.dll,normal
 msftedit.dll,normal
 ntdll.dll kernel32.dll KernelBase.dll user32.dll msvcrt.dll shlwapi.dll gdi32.dll System.Transactions.dll imm32.dll msctf.dll imagehlp.dll advapi32.dll ieframe.dll shell32.dll ole32.dll oleaut32.dll wininet.dll cryptui.dll user32.dll IEAdvpack.dll iertutil.dll urlmon.dll mshtml.dll msimg32.dll version.dll crypt32.dll mlang.dll sechost.dll sechost.dll rpcrt4.dll combase.dll rpcrt4.dll SHCore.dll setupapi.dll msasn1.dll System.Data.dll System.ServiceModel.Internals.dll cfgmgr32.dll api-ms-win-crt-math-l1-1-0.dll devobj.dll comctl32.dll cryptbase.dll bcryptprimitives.dll uxtheme.dll dwmapi.dll profapi.dll sxs.dll clbcatq.dll propsys.dll secur32.dll sspicli.dll ws2_32.dll nsi.dll msfeeds.dll winhttp.dll mswsock.dll winnsi.dll tquery.dll,normal
 cryptsp.dll rsaenh.dll userenv.dll sspicli.dll,normal
 ntdll.dll ntdll.dll wow64.dll wow64win.dll wow64cpu.dll kernel32.dll kernel32.dll kernel32.dll user32.dll kernel32.dll KernelBase.dll sspicli.dll apphelp.dll advapi32.dll comctl32.dll mscoreei.dll gdi32.dll mfc42u.dll msvcrt.dll ole32.dll imagehlp.dll oleaut32.dll shell32.dll user32.dll wininet.dll winmm.dll ws2_32.dll crypt32.dll sechost.dll rpcrt4.dll odbc32.dll combase.dll shlwapi.dll iertutil.dll winmmbase.dll dhcpcsvc.dll nsi.dll sspicli.dll cryptbase.dll bcryptprimitives.dll imm32.dll msctf.dll uxtheme.dll riched32.dll riched20.dll usp10.dll msls31.dll dwmapi.dll cfgmgr32.dll comctl32.dll clbcatq.dll gdi32.dll version.dll oleacc.dll clbcatq.dll ntdll.dll propsys.dll profapi.dll ntmarta.dll ntdll.dll dui70.dll imecfm.dll wer.dll wow64cpu.dll SHCore.dll msado15.dll msctf.dll msdart.dll oledb32.dll bcrypt.dll comsvcs.dll msjetoledb40.dll msjet40.dll msjter40.dll mswstr10.dll sechost.dll msjint40.dll crypt32.dll usp10.dll msasn1.dll user32.dll dpapi.dll cryptsp.dll rsaenh.dll msadox.dll msadrh15.dll msjtes40.dll vbajet32.dll expsrv.dll msdadiag.dll imecfm.dll kernel32.dll wer.dll msadce.dll msadcer.dll ieframe.dll System.Transactions.dll urlmon.dll ieproxy.dll setupapi.dll cfgmgr32.dll devobj.dll,caidao
 nsi.dll ntdll.dll kernel32.dll System.ServiceProcess.ni.dll KernelBase.dll apphelp.dll security.dll msvcrt.dll user32.dll gdi32.dll MMCFxCommon.dll imm32.dll msctf.dll iertutil.dll SHCore.dll combase.dll rpcrt4.dll ieframe.dll shlwapi.dll sechost.dll ole32.dll oleaut32.dll shell32.dll comctl32.dll comdlg32.dll cryptbase.dll bcryptprimitives.dll uxtheme.dll IEShims.dll urlmon.dll advapi32.dll dwmapi.dll sqmapi.dll user32.dll sspicli.dll profapi.dll ws2_32.dll nsi.dll winhttp.dll wininet.dll System.Deployment.dll winnsi.dll clbcatq.dll cryptsp.dll rsaenh.dll System.Configuration.ni.dll secur32.dll dhcpcsvc6.dll dhcpcsvc.dll mswsock.dll rasapi32.dll PresentationCore.ni.dll rasman.dll rtutils.dll ieproxy.dll ieui.dll oleacc.dll ExplorerFrame.dll xmllite.dll duser.dll api-ms-win-core-synch-l1-2-0.dll Wldap32.dll dui70.dll msimg32.dll cfgmgr32.dll ntdll.dll actxprxy.dll mlang.dll propsys.dll setupapi.dll cfgmgr32.dll devobj.dll mshtml.dll dnsapi.dll ntmarta.dll version.dll imecfm.dll wer.dll rsaenh.dll WindowsCodecs.dll userenv.dll profext.dll,normal
 imm32.dll ntdll.dll kernel32.dll msvcrt.dll KernelBase.dll msvcrt.dll combase.dll System.Web.DynamicData.ni.dll rpcrt4.dll cryptbase.dll bcryptprimitives.dll clbcatq.dll user32.dll gdi32.dll imm32.dll msctf.dll sechost.dll cryptsp.dll rsaenh.dll uxtheme.dll usp10.dll oleaut32.dll wininet.dll dwmapi.dll shlwapi.dll iertutil.dll advapi32.dll secur32.dll dnsapi.dll sspicli.dll shell32.dll shlwapi.dll SHCore.dll profapi.dll comctl32.dll ws2_32.dll nsi.dll winhttp.dll mswsock.dll winnsi.dll dhcpcsvc6.dll dhcpcsvc.dll,normal
 ntdll.dll kernel32.dll KernelBase.dll advapi32.dll user32.dll msvcrt.dll shell32.dll shlwapi.dll iertutil.dll oleaut32.dll ole32.dll IEAdvpack.dll sechost.dll rpcrt4.dll msctf.dll gdi32.dll combase.dll user32.dll oleaut32.dll version.dll usp10.dll rsaenh.dll setupapi.dll comctl32.dll cfgmgr32.dll devobj.dll imm32.dll msctf.dll iedkcs32.dll cryptbase.dll bcryptprimitives.dll System.Management.Automation.ni.dll uxtheme.dll SHCore.dll profapi.dll clbcatq.dll ntshrui.dll mapi32.dll sspicli.dll srvcli.dll netutils.dll propsys.dll linkinfo.dll cscapi.dll,normal
 ntdll.dll kernel32.dll KernelBase.dll wmsgapi.dll user32.dll msvcrt.dll mscorwks.dll imagehlp.dll shlwapi.dll dwmapi.dll gdi32.dll imm32.dll msctf.dll advapi32.dll ieframe.dll gdi32.dll shell32.dll ole32.dll clbcatq.dll oleaut32.dll wininet.dll cryptui.dll IEAdvpack.dll iertutil.dll cryptbase.dll urlmon.dll rpcrt4.dll mshtml.dll msimg32.dll version.dll crypt32.dll mlang.dll rsaenh.dll ws2_32.dll sechost.dll rpcrt4.dll combase.dll SHCore.dll setupapi.dll msasn1.dll cfgmgr32.dll devobj.dll comctl32.dll cryptbase.dll bcryptprimitives.dll uxtheme.dll dwmapi.dll profapi.dll clbcatq.dll propsys.dll KernelBase.dll secur32.dll sspicli.dll winhttp.dll ws2_32.dll nsi.dll msfeeds.dll mswsock.dll winnsi.dll dhcpcsvc6.dll dhcpcsvc.dll,normal
 setupapi.dll cfgmgr32.dll devrtl.dll,normal
